	Open	High	Low	Close	Volume	TradingDate	Code
2343	8980.0	9040.0	8820.0	8850.0	431250	2017-06-14	LSS
2344	8850.0	8920.0	8730.0	8760.0	261450	2017-06-15	LSS
2345	8760.0	8950.0	8760.0	8820.0	336810	2017-06-16	LSS
2346	8850.0	8920.0	8820.0	8920.0	483510	2017-06-19	LSS
2347	8950.0	9040.0	8850.0	8850.0	390630	2017-06-20	LSS
2348	8850.0	8950.0	8760.0	8920.0	368710	2017-06-21	LSS
2349	8920.0	9040.0	8920.0	9040.0	550000	2017-06-22	LSS
2350	9040.0	9430.0	8950.0	9400.0	1327230	2017-06-23	LSS
2351	9430.0	9620.0	9330.0	9520.0	1064820	2017-06-26	LSS
2352	9550.0	9550.0	9200.0	9300.0	579280	2017-06-27	LSS
2353	9240.0	9330.0	9080.0	9330.0	443100	2017-06-28	LSS
2354	9360.0	9460.0	9170.0	9270.0	472660	2017-06-29	LSS
2355	9360.0	9360.0	9200.0	9200.0	333970	2017-06-30	LSS
2356	9240.0	9520.0	9240.0	9430.0	751420	2017-07-03	LSS
2357	9460.0	9490.0	9300.0	9360.0	419800	2017-07-04	LSS
2358	9360.0	9360.0	9200.0	9200.0	455480	2017-07-05	LSS
2359	9170.0	9240.0	8950.0	9080.0	1095750	2017-07-06	LSS
2360	9140.0	9140.0	8920.0	9080.0	859270	2017-07-07	LSS
2361	9080.0	9080.0	8600.0	8760.0	398090	2017-07-10	LSS
2362	8660.0	8790.0	8600.0	8760.0	454810	2017-07-11	LSS
2363	8850.0	8890.0	8690.0	8790.0	325520	2017-07-12	LSS
2364	8850.0	8850.0	8760.0	8820.0	148290	2017-07-13	LSS
2365	8850.0	8980.0	8820.0	8890.0	171040	2017-07-14	LSS
2366	8850.0	8950.0	8570.0	8600.0	369830	2017-07-17	LSS
2367	8600.0	8690.0	8500.0	8570.0	226060	2017-07-18	LSS
2368	8600.0	8690.0	8540.0	8630.0	184430	2017-07-19	LSS
2369	8690.0	8690.0	8500.0	8570.0	106110	2017-07-20	LSS
2370	8600.0	8630.0	8540.0	8570.0	317080	2017-07-21	LSS
2371	8570.0	8600.0	8470.0	8500.0	221030	2017-07-24	LSS
2372	8470.0	8570.0	8440.0	8570.0	161780	2017-07-25	LSS
2373	8660.0	8660.0	8540.0	8570.0	213830	2017-07-26	LSS
2374	8500.0	8600.0	8440.0	8540.0	361540	2017-07-27	LSS
2375	8540.0	8630.0	8440.0	8600.0	441710	2017-07-28	LSS
2376	8600.0	8600.0	8340.0	8410.0	618040	2017-07-31	LSS
2377	8340.0	8440.0	8340.0	8410.0	203640	2017-08-01	LSS
2378	8340.0	8410.0	8250.0	8280.0	571340	2017-08-02	LSS
2379	8280.0	8280.0	7960.0	8090.0	670140	2017-08-03	LSS
2380	8090.0	8090.0	7960.0	7960.0	368150	2017-08-04	LSS
2381	7930.0	8280.0	7680.0	8280.0	486810	2017-08-07	LSS
2382	8280.0	8280.0	7990.0	8060.0	142370	2017-08-08	LSS
2383	8150.0	8150.0	7830.0	7960.0	210250	2017-08-09	LSS
2384	7960.0	8120.0	7960.0	8060.0	215150	2017-08-10	LSS
2385	8120.0	8120.0	8030.0	8090.0	209680	2017-08-11	LSS
2386	8150.0	8340.0	8150.0	8340.0	375700	2017-08-14	LSS
2387	8380.0	8410.0	8220.0	8310.0	265400	2017-08-15	LSS
2388	8340.0	8470.0	8310.0	8410.0	637260	2017-08-16	LSS
2389	8410.0	8540.0	8410.0	8410.0	459460	2017-08-17	LSS
2390	8410.0	8410.0	8280.0	8410.0	114310	2017-08-18	LSS
2391	8440.0	8440.0	8280.0	8310.0	162320	2017-08-21	LSS
2392	8310.0	8440.0	8090.0	8310.0	177460	2017-08-22	LSS
2393	8250.0	8340.0	8150.0	8250.0	203640	2017-08-23	LSS
2394	8280.0	8280.0	8150.0	8250.0	162750	2017-08-24	LSS
2395	8280.0	8280.0	8120.0	8250.0	200190	2017-08-25	LSS
2396	8280.0	8380.0	8220.0	8220.0	131340	2017-08-28	LSS
2397	8280.0	8310.0	8190.0	8220.0	234910	2017-08-29	LSS
2398	8250.0	8250.0	8150.0	8220.0	207050	2017-08-30	LSS
2399	8220.0	8250.0	8150.0	8190.0	195650	2017-08-31	LSS
2400	8220.0	8280.0	8190.0	8250.0	128970	2017-09-01	LSS
2401	8490.0	8490.0	8320.0	8350.0	208430	2017-09-05	LSS
2402	8280.0	8350.0	8180.0	8180.0	102400	2017-09-06	LSS
2403	8280.0	8280.0	8180.0	8220.0	227570	2017-09-07	LSS
2404	8180.0	8280.0	8080.0	8080.0	218090	2017-09-08	LSS
2405	8080.0	8080.0	7740.0	7770.0	490840	2017-09-11	LSS
2406	7770.0	7940.0	7770.0	7940.0	151240	2017-09-12	LSS
2407	7910.0	7940.0	7840.0	7880.0	232130	2017-09-13	LSS
2408	7880.0	7910.0	7810.0	7840.0	167920	2017-09-14	LSS
2409	7770.0	7880.0	7770.0	7810.0	156120	2017-09-15	LSS
2410	7840.0	7940.0	7810.0	7810.0	202340	2017-09-18	LSS
2411	7840.0	7880.0	7740.0	7770.0	196830	2017-09-19	LSS
2412	7840.0	7940.0	7770.0	7910.0	212300	2017-09-20	LSS
2413	7940.0	8180.0	7880.0	8110.0	307670	2017-09-21	LSS
2414	8150.0	8180.0	8050.0	8050.0	205190	2017-09-22	LSS
2415	8080.0	8080.0	7880.0	7980.0	213750	2017-09-25	LSS
2416	7980.0	7980.0	7810.0	7810.0	300370	2017-09-26	LSS
2417	7810.0	7910.0	7770.0	7840.0	219120	2017-09-27	LSS
2418	7840.0	7840.0	7710.0	7710.0	233930	2017-09-28	LSS
2419	7770.0	7810.0	7670.0	7740.0	124800	2017-09-29	LSS
2420	7710.0	7770.0	7600.0	7600.0	123310	2017-10-02	LSS
2421	7640.0	7770.0	7570.0	7670.0	169990	2017-10-03	LSS
2422	7710.0	7740.0	7670.0	7710.0	122620	2017-10-04	LSS
2423	7740.0	7740.0	7600.0	7670.0	57530	2017-10-05	LSS
2424	7670.0	7840.0	7670.0	7840.0	223050	2017-10-06	LSS
2425	7910.0	7940.0	7670.0	7740.0	137100	2017-10-09	LSS
2426	7710.0	7770.0	7670.0	7740.0	46050	2017-10-10	LSS
2427	7810.0	7840.0	7670.0	7670.0	235000	2017-10-11	LSS
2428	7640.0	7710.0	7570.0	7600.0	127960	2017-10-12	LSS
2429	7600.0	7600.0	7570.0	7600.0	69870	2017-10-13	LSS
2430	7640.0	7810.0	7570.0	7570.0	94440	2017-10-16	LSS
2431	7570.0	7600.0	7540.0	7540.0	140160	2017-10-17	LSS
2432	7500.0	7540.0	7330.0	7370.0	481320	2017-10-18	LSS
2433	7370.0	7470.0	7370.0	7430.0	191040	2017-10-19	LSS
2434	7600.0	7600.0	7430.0	7430.0	106680	2017-10-20	LSS
2435	7370.0	7400.0	7230.0	7230.0	233290	2017-10-23	LSS
2436	7230.0	7400.0	7130.0	7400.0	252130	2017-10-24	LSS
2437	7570.0	7570.0	7330.0	7400.0	84340	2017-10-25	LSS
2438	7400.0	7470.0	7230.0	7330.0	58190	2017-10-26	LSS
2439	7330.0	7330.0	7090.0	7230.0	61170	2017-10-27	LSS
2440	7230.0	7300.0	7130.0	7130.0	30160	2017-10-30	LSS
2441	6790.0	7200.0	6630.0	6630.0	292380	2017-10-31	LSS
2442	6520.0	6780.0	6170.0	6180.0	271030	2017-11-01	LSS
2443	5840.0	5970.0	5750.0	5750.0	829090	2017-11-02	LSS
2444	5800.0	6110.0	5640.0	6110.0	281260	2017-11-03	LSS
2445	6250.0	6250.0	5970.0	6170.0	103650	2017-11-06	LSS
2446	6110.0	6110.0	5980.0	6090.0	127450	2017-11-07	LSS
2447	6110.0	6250.0	6060.0	6140.0	230530	2017-11-08	LSS
